date,CI005101.WI,CI005102.WI,CI005104.WI,CI005105.WI,CI005106.WI,CI005107.WI,CI005109.WI,CI005110.WI,CI005111.WI,CI005113.WI,CI005117.WI,CI005122.WI,CI005124.WI,CI005127.WI,CI005129.WI,CI005133.WI,CI005134.WI,CI005135.WI,CI005136.WI,CI005137.WI,CI005138.WI,CI005139.WI,CI005140.WI,CI005143.WI,CI005144.WI,CI005145.WI,CI005146.WI,CI005152.WI,CI005153.WI,CI005154.WI,CI005155.WI,CI005156.WI,CI005160.WI,CI005162.WI,CI005163.WI,CI005164.WI,CI005165.WI,CI005166.WI,CI005168.WI,CI005170.WI,CI005171.WI,CI005172.WI,CI005173.WI,CI005178.WI,CI005181.WI,CI005185.WI
2006-4-7,,-1.741516734,-2.209129613,-2.589557405,2.165890653,1.15315221,-1.948407535,-2.199825426,-2.877362273,-1.836908647,-3.38873123,-3.18319841,-1.347740492,-2.899209944,-3.263182937,0.241760317,-3.0929127,,-3.412676005,-3.520031407,-2.593109498,-3.894670381,-3.495621129,-3.01643399,-2.866797502,-2.689070246,-2.93566883,-2.947796488,-3.317593952,-2.398627109,-2.785215803,-0.997359421,-3.465906401,-2.898682204,,-0.549166845,0.171539753,,-1.090298086,-2.317468605,-3.607842616,-1.502203998,-0.992162232,-3.41471204,-2.943157851,-3.214345803
2006-4-14,,-1.03092938,-2.119956915,-2.269268751,1.320595477,0.312746713,-2.080953631,-2.11943349,-2.47367486,-1.78054874,-3.102311388,-3.162869262,-1.24220699,-2.349019466,-3.299220194,0.565815872,-2.809353776,,-3.095229057,-2.373264143,-2.636923002,-3.894190983,-3.095886646,-2.935211313,-2.892823621,-1.73806283,-2.875576054,-2.826466427,-2.783074412,-2.428583464,-2.632361376,-0.386957531,-3.381100082,-2.900324366,,-0.101767935,0.685394842,,-0.976318688,-2.375313936,-3.535431696,-1.578685406,-1.152683321,-3.369492533,-3.042016415,-3.268532428
2006-4-21,,-0.215129577,-1.974463494,-2.322923496,2.681779003,1.209197112,-2.110690266,-2.617730733,-2.499969115,-1.729327019,-3.146165172,-2.989625348,-1.288553584,-2.316576994,-2.988576918,0.705865399,-2.275986097,,-3.046422409,-2.437456227,-2.658191225,-3.907516813,-3.197573015,-2.905479874,-2.880256311,-1.703084894,-2.655127064,-2.862490505,-2.58661708,-2.448051336,-2.667757106,1.889170041,-3.459563097,-2.939067435,,-0.058901219,1.664455019,,-0.924112051,-2.294959446,-3.458606535,-1.556542237,-1.072187608,-3.391106368,-3.055403383,-3.267325181
2006-4-28,,0.099392329,-1.753087371,-2.148076966,2.69130044,1.651534081,-2.046645666,-2.357732296,-2.232338128,-1.529186919,-2.747364607,-2.773799943,-0.506096968,-2.285196919,-2.931874875,1.171154104,-1.994236753,,-2.608469843,-1.48948092,-2.657412243,-3.372492006,-3.037631613,-2.848801751,-2.869935855,-1.449655719,-2.454014255,-2.888690561,-2.618092466,-2.478605511,-2.360740947,2.130408423,-3.331336441,-2.66747009,,0.420030741,2.230122046,,-0.691905523,-2.380220322,-3.180933849,-1.525396504,-1.224699493,-3.007589938,-3.091667161,-2.92689407
2006-5-12,,1.23416835,-1.593934108,-2.143499286,2.981079096,2.214342645,-2.178857878,-1.90856569,-2.396342757,-0.979663355,-1.797919099,-2.346741318,0.621051448,-1.360533503,-2.667839647,1.599239068,-2.026856908,,-1.919209701,0.073336512,-2.69724588,-2.432239089,-2.583694021,-2.334465948,-2.902733402,-0.971874047,-2.288405375,-2.083557244,-1.64021185,-1.953048011,-1.881607579,2.340603448,-2.589837014,-2.538138629,,0.572431869,2.572619243,,-0.450890391,-2.56718951,-2.289447192,-1.908306221,-1.661431809,-2.583313308,-2.765942484,-2.825264352
2006-5-19,,1.026470328,-1.443075019,-2.210032791,3.001273376,1.652416261,-2.087382897,-1.307531813,-2.265865482,0.284492967,-1.656378765,-1.820993365,0.520973419,-0.932123994,-2.548560631,1.63085235,-0.735007318,,-1.380336781,0.853682663,-2.279598557,-2.011650437,-2.15351779,-2.269107102,-2.633424534,-0.434593012,-2.434482585,-0.946006013,-1.354299728,-1.508590102,-1.399181277,2.543465899,-1.926884945,-2.024762328,,0.537684261,2.83981538,,-0.328327071,-2.664485134,-1.770583529,-2.092040964,-1.971312985,-2.22630831,-2.163174615,-2.357246823
2006-5-26,,0.461786322,-1.586147465,-2.223434353,2.330765018,0.723470705,-2.169534371,-1.362027339,-2.304010319,-0.133170405,-1.927093561,-2.218822957,0.081914957,-0.917902667,-2.462278168,0.925672926,-0.867089881,,-1.816143858,0.355818707,-2.44692849,-1.591562033,-1.951581053,-2.674771443,-2.531881781,-0.760869353,-2.469209614,-1.27989279,-1.856933862,-1.671782793,-1.483150812,1.932143755,-2.01853373,-1.98906076,,0.612319251,1.85664078,,-0.331887916,-2.690442752,-2.083376072,-1.920585551,-1.845532776,-2.210031942,-2.662438363,-2.540585048
2006-6-2,,0.228037526,-1.445868849,-2.204414873,1.15379551,1.050222337,-1.964917396,-0.659481368,-2.120037755,0.075533409,-1.206238772,-1.618059798,0.844102731,0.674224689,-1.854797477,1.668788854,0.560900241,,-0.636609534,1.526293602,-1.958384872,-0.347879664,-0.848005456,-1.631491782,-1.522321159,-0.168960661,-2.271674734,-0.477901439,-1.702012996,-0.448063168,-0.907609964,2.110640301,-1.270404905,-0.904620772,,0.361991708,1.788452057,,0.130641929,-2.426101187,-1.129298854,-1.99926105,-2.113098045,-1.287196028,-1.953047635,-1.766922949
2006-6-9,,0.016061192,-1.76162572,-2.285975972,1.241119842,-0.178616864,-2.106175617,-0.935643416,-2.449654132,-0.453605301,-1.345121072,-2.234777921,-0.145390075,-0.164514479,-2.128295404,1.159849569,0.283423781,,-0.812587737,0.240788349,-2.317426812,-1.712639509,-1.218879868,-1.517362113,-1.873571516,-1.003681462,-2.230323344,-1.508824783,-2.898072622,-0.86247263,-0.955162777,2.30712075,-1.627416147,-1.395913669,,-0.478360389,0.611443718,,-0.362835441,-2.558118084,-1.31682873,-2.026265679,-2.156946165,-0.665286452,-1.696795948,-2.380481778
2006-6-16,,0.242344431,-1.795293023,-2.280383322,-1.011571009,-0.248451851,-2.093818839,-0.889533342,-1.897330313,-0.313519712,-1.192070163,-2.389132095,0.331601218,-0.215785736,-1.831564692,0.93641008,-0.630202439,,-0.895552406,0.414639107,-2.125322406,-1.721972958,-0.968609452,-0.927872912,-1.89277868,-0.787220729,-2.168461501,-1.715874403,-2.391978694,-0.952519604,-0.395967628,2.580470421,-1.323712694,-1.190135679,,-0.510980312,0.975000156,,-0.179537947,-2.602113765,-1.27941379,-2.048437009,-2.165472185,-0.961432978,-1.178059669,-1.834061004
